property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
גג/פנטהאוז,הצפון הישן החלק הדרום מזרחי,ישראליס 4,3.5,4,100,0,0,12,500,250,5,"מרכז תל אביב, האזור המערבי,והשקט
מפנה לה 3.5 חד ברחוב קסום ליד פרישמן והליכה לים, יציאה מהסלון למרפסת שמש של 13 מטר
חלונות גדולים,עם נוף ירוק,ושקט,סלון עם פינת אוכל.
חדרים שינה עם מזגנים.
בניין חדש,עם מעלית.
רחוב שקט !
כ -100 מטר במטבח עם מקרר וגז ותנור
מעוצבת ואיכותית
בניין עם אינטרקום וקודן
כניסה 10/5/25",0,0,1,1,0,0,0,1,0,1,15000.0,8,1.3
דירה,הצפון הישן החלק הדרום מזרחי,ריינס 24,3.0,0,120,15,,12,600,150,0,"להשכרה - ריינס 24, תל-אביב, 3 חדרים, 120 מ , קומת קרקע + גינה
לתאום 054-2266881
דירת גן שהיא פנינה בלב העיר תל אביב - מוארת, עורפית, סופר שקטה ונעימה!
במרכז העניינים! מרחק רגלי לים, לבנק, לקניון, לברים ומסעדות ולכל מטרה.
חדר מאסטר עצום עם ארון מעוצב מראות שחורות חלונות ענקיים
חדר נוסף עם ארון בגדים גדול
ריהוט חלקי + מזגנים בכל החדרים וחלונות
מבואה גדולה למכונות כביסה מייבש אחסון וכיור נוסף
יציאה נפרדת לגינה מתוך הדירה

שכירות 8,850 שח
כניסה 24.07.2024",0,0,0,0,0,0,0,1,0,0,8850.0,12,2.1
דירה,הצפון הישן החלק הדרום מזרחי,רוזנבאום 8,3.5,1,100,0,0,12,700,,4,"*ללא דמי תיווך* דירת 3 חדרים עם חניה פרטית בבניין. דירה מוארת, מרווחת ויפה.  לכל חדר מרפסת (2 סגורות ואחת קטנה פתוחה). 8,700 שקלים דמי שכירות לחודש כולל החניה. לא מתוכנן תמ""א בבניין. אין תשלום ועד בית. ארנונה- 700 שקלים לחדשיים. מזגנים חדשים בכל חדר. כולל מקרר, כריים, ארונות ושידות. הרבה מקום אחסון בדירה. מיקום מרכזי- קרוב לשרונה, דיזנגוף סנטר, הבימה.",1,0,0,1,0,0,0,1,0,0,87000.0,7,1.3
דירה,הצפון הישן החלק הדרום מזרחי,יוסף אליהו 11,3.0,1,90,0,0,12,300,220,4,"להשכרה החל מ -1.12.23 : בקומה 1 דירת 3 חדרים מהממת, בבניין מורשת מטופח ויפה ברחוב שקט במרכז תל אביב, 2 דק הליכה מהבימה 2 חדרי שירותים (כולל אמבטיה) מרפסת פתוחה, תריסים חשמליים, מיזוג מרכזי, מטבח מאובזר במדיח, כיריים אינדוקציה ותנור .ידידותי לבעלי חיים .לא מתאימה לשותפים .- 9400 ₪ לחודש .  052-4634442 אין דמי תיווך",0,0,0,1,0,0,0,1,0,0,9400.0,8,1.2
גג/פנטהאוז,הצפון הישן החלק הדרום מזרחי,הירשנברג 3,2.0,4,45,0,0,12,450,200,4,"‏ברחוב הירשנברג

סמטה משדרות בן גוריין המבוקש

מתפנה לדירת שני חדרים 45 מטר מרובע עם גג בקומה שלישית ללא מעלית

הסכם שכירות קליל

בעלת בית נחמדה

נוף פתוח לכל האזור.

כניסה 1.1.2025",0,0,0,1,0,0,0,1,0,0,6500.0,7,1.5
גג/פנטהאוז,הצפון הישן החלק הדרום מזרחי,המלך ג'ורג' 103,2.0,4,40,65,0,12,,,4,"ללא תיווך
כניסה מיידית(במהלך אוקטובר)
6000 לחודש כולל חשבונות חוץ מחשמל
המלך ג׳ורג׳ 103, מאוד מרכזי
קומה 4 ללא מעלית
שני חדרים
40 מטר בנוי ועוד 65 מטר החצר של הגג סה״כ 105 מטר
מאובזר בשני מזגנים שתי טלוויזיות
תנור מיקרו מקרר ריהוט גן מכונת כביסה שני ארונות
0526302915 אורי",0,0,0,1,0,0,0,1,0,0,6000.0,13,0.7
גג/פנטהאוז,הצפון הישן החלק הדרום מזרחי,בר כוכבא 46,1.0,4,24,30,0,12,250,60,4,"דירת גג, כניסה בלעדית לדייר/ דיירת גג פרטי עם פרגולה, נוף תל אביבי מדהים.",0,0,0,1,0,0,0,1,0,1,5500.0,8,0.7
דירה,הצפון הישן החלק הדרום מזרחי,"ש""ץ 15",3.0,2,48,0,,12,298,50,4,"ברחוב ש""ץ פינת גוטליב [פסיעה מדיזנגוף]
2 חדרי שינה גדולים, מרווחים ומוארים
+ סלון מטבח ומרפסת שירות 
שירוקלחת משופצים
דירה עורפית ושקטה.
מזגן בכל חדר 
באחד החדרים גלריה
מתאימה לשותפים.ות
קומה 2 מתוך 4 קומות  
ללא תיווך.",0,0,0,0,0,0,0,0,0,0,7800.0,1,1.7
דירה,הצפון הישן החלק הדרום מזרחי,האלקושי 4,2.5,1,50,0,0,12,309,100,4,"מרכז תל אביב \ שכונה: הבימה
דירה של  2.5  חדרים כ - 50 מטר, עברה שיפוץ כללי.מטה ממרכז העינינים
כוון אויר: דרום,מערב.
קומה:1 ללא מעלית.
בדירה ארון קיר גדול תנור כיריים חשמליות ומקרר
יציאה למרפסת שמש קטנה.
איכלוס מיידי
ועד בית כ-100 שח ארנונה כ-309 שח לחודשיים",0,0,0,1,0,1,0,1,0,1,7200.0,4,1.2
דירה,הצפון הישן החלק הדרום מזרחי,"בשדרות ח""ן 5",3.0,5,85,0,0,12,500,220,5,"רחוב: בשדרות ח""ן
קומה: 3
דירת 3.5 חדרים, 80 מ""ר, דירה שמורה מאוד, קומה 3 מתוך 5, יש מעלית (עולים שתי מדרגות)
יש מעלית ומקלט.
מתאימה מאוד גם לשותפים
נוף לשדרות ח""ן.
מיקום מדהים ומרכזי אך שקט.
כניסה מידית.",0,0,0,1,0,0,0,0,0,1,8500.0,7,0.9
דירה,הצפון הישן החלק הדרום מזרחי,שפינוזה 5,3.0,2,100,0,0,12,650,250,4,"רחוב:שפינוזה
מרכז תל אביב \ ליד שדרת בן גוריין
3 חדרים קומה ראשונה 100 מטר, מתאים גם ל 3 שותפים  !!
מקלחת 2 שירותים.
ארון בגדים גדול, 2 מרפסות סגורות.
מזגן בכל חדר וגם במטבח.
325 ועד  
כניסה מידית.",0,0,0,1,0,0,0,0,0,1,9000.0,11,2.1
דירת גן,הצפון הישן החלק הדרום מזרחי,ריינס 30,4.0,0,240,0,,12,,,5,"מוצרי חשמל ,ארונות ועוד",1,0,1,1,1,0,1,1,1,1,25000.0,1,2.1
גג/ פנטהאוז,הצפון הישן החלק הדרום מזרחי,השופטים,5.0,5,160,0,,4,,600,5,"4 חדרי שינה פלוס סלון גדול ויציאה למרפסת ענקית פונה לירוק 
פינוי ב 1.10לתקופה ארוכה",1,0,1,1,1,0,0,1,0,1,26500.0,1,1.4
דירה,הצפון הישן החלק הדרום מזרחי,כיכר מסריק 5,4.0,2,90,0,0,12,500,200,4,"בכיכר מסריק מיקום פגז !
מתפנה לה דירת 4 חדרים בבניין באוהאוס מפנק.
סלון גדול ומרווח פתוח למטבח רחב ידיים עם מקום לפינת אוכל.
חדרי שינה גדולים ומרווחים מאוד 2 חדרי שרותיים ואמבטיות.
שפע של אור ואוויר , מרפסת שמש נחמדה.
הדירה מושלמת לזוגות משפחה או 3 שותפים
תאריך כניסה 22/7",0,0,0,1,0,0,0,1,0,1,11500.0,7,1.4
דירה,הצפון הישן החלק הדרום מזרחי,שדרות בן גוריון 88,3.0,1,80,0,0,12,450,120,4,"רחוב: שדרות בן גוריון

ליד גן העיר 

דירה של  3 חדרים,כ - 80  מטר,פונה לחזית מוארת מקסימה ואיותית.

יציאה למרפסת שמש

חדרים שינה עם מזגנים

3 כוון אויר.

מטבח עם פינת אוכל.

בניין עםם קודן,ואינטרקום.

מתאימה לזוג + אחד\שותפים

הליכה ברגל לים\ ולכל מקום.",0,0,0,1,0,0,0,1,0,0,7300.0,6,1.7
דירה,הצפון הישן החלק הדרום מזרחי,מלכי ישראל 6,3.0,1,67,0,0,12,250,200,5,"דירה של  3  חדרי,כ - 65 מטר, סלון עם מבטח פתוח,פלוס פינת אוכל\ עבודה.
חדרים שינה עם מזגנים.
פונה לחזית.
קומה 1 עם מעלית
בניין עם קודן ואינטרקום.
כניסה מידית.",0,0,1,0,0,0,0,0,0,0,6500.0,6,1.7
דירה,הצפון הישן החלק הדרום מזרחי,צבי שפירא  4,4.0,2,90,0,0,12,500,250,4,"רחוב: צבי שפירא 
במיקום נדיר 
קרוב לבית ספר גבריאלי
עם נוף מושלם לגינה .
דירת 4 חד' לא סטנדרטית ומיוחדת מאוד
""טריפלקס"" מדליק , מאוד ביתי ונעים.
מוארת מאוד - דרום מערב צפון
חניה פרטית רגילה , מעלית , אין מרפסת.
קומה שניה , המון חלונות .
נפלאה 
הדירה פנויה
לכניסה מיידית .",1,0,1,1,0,0,1,0,0,1,11000.0,8,1.1
דירה,הצפון הישן החלק הדרום מזרחי,שפינוזה 11,1.5,0,40,0,0,12,200,196,4,"מרכז העיר \ מיקום שקט.
דירת חדר וחצי
רחוב שקט בין גורדון /ריינס עם חנייה 
40 מ״ר משופצת
מרוהטת קומפלט
מוארת ממוזגת ומסורגת
פרקט בכל הדירה
מתאימה לזוג/יחיד
קומת קרקע עם קודן, אפשר בעלי חיים
כניסה 1/10, חנייה 6 ימים בשבוע.
צריך 2 ערבים ופיקדון של חודש מזומן ושטר חוב",0,0,0,1,1,1,0,0,0,1,5500.0,10,2.0
דירה,הצפון הישן החלק הדרום מזרחי,בוגרשוב 71,3.5,3,85,0,,12,1400,250,4,"😇 קוד 7030
להשכרה ברחוב בוגרשוב  
דירת 3 חדרים 
קומה 3 עורפית יש מעלית
מזגן בכל חדר + סלון
בכל חדר ארון 3 דלתות
חדר אחד עם מקלחת שירותים 
עוד חדר אמבטיה בכניסה 
יש דוד שמש 
יש מעלית
בניין עבר תמ""א 38
ועד 256 שח
ארנונה
שמורה ומתוחזקת ברמה גבוהה
לא מתאימה לשותפים
כניסה 1.9.23
מחיר השכרה מבוקש 
9.500 שח
יודקביץ נכסים
חי משה 052-4229227",0,0,1,1,0,0,0,0,0,1,9500.0,1,0.5
דירה,הצפון הישן החלק הדרום מזרחי,מלכי ישראל 3,3.0,1,65,0,0,12,500,250,4,"דירה של  3  חדרי,כ - 65 מטר, סלון עם מבטח פתוח,פלוס פינת אוכל\ עבודה.

חדרים שינה עם מזגנים.

פונה לחזית.

קומה 1 עם מעלית

בניין עם קודן ואינטרקום.

כניסה מידית.",0,0,1,1,0,0,0,0,0,1,7300.0,2,1.5
דירה,הצפון הישן החלק הדרום מזרחי,מאנה 6,2.0,2,68,0,,12,500,200,4,"להשכרה !!  מחיר: 7500 ש""ח 
רחוב: מאנה
דירה של  2  חדרים,כ - 68 מטר סלון עם יציאה למרפסת סגורה.
פלוס פינת עבודה.
מטבח נטו.
חדר שינה עם מזגן
מקלחת ושורתים, בנפרד.
הול כניסה 
בניין מטופח ומסודר, עם אינטרקום.
כניסה מידית.",0,0,0,1,0,0,0,1,0,1,7500.0,1,1.4
חניה,הצפון הישן החלק הדרום מזרחי,דיזנגוף 77,1.0,0,12,0,0,12,,,0,חניה רובוטית להשכרה במרכז דיזינגוף,1,0,0,0,0,0,0,0,0,0,1000.0,0,0.2
דירה,הצפון הישן החלק הדרום מזרחי,אבן גבירול 7,1.0,3,19,0,0,12,200,120,4,"מרכז תל אביב

דירה חדר  של  19  מטר, פונה לעורף. בתוך חדר עם  שותפים.

מטבח משותף עם עוד דירה.

מקלחת ושרותים בתוך החדר.

קומה ג' ללא מעלית.

בניין עם קודן,ואינטרקום.

מול גן העיר,עם נגישות לתחבורה ציבורית.

כניסה מידית.",0,0,0,1,0,0,0,0,0,1,3200.0,3,1.5
דירה,הצפון הישן החלק הדרום מזרחי,האלקושי 4,2.5,1,50,0,0,12,309,100,4,"להשכרה !!  מחיר: 7500 ש""ח 
רחוב:האלקושי 
מרכז תל אביב \ שכונה: הבימה
דירה של  2.5  חדרים כ - 50 מטר, עברה שיפוץ כללי.מטה ממרכז העינינים
כוון אויר: דרום,מערב.
קומה:1 ללא מעלית.
בדירה ארון קיר גדול תנור כיריים חשמליות ומקרר
יציאה למרפסת שמש קטנה.
איכלוס מיידי
ועד בית כ-100 שח ארנונה כ-309 שח לחודשיים",0,0,0,1,0,1,0,1,0,1,7500.0,4,1.2
דירה,הצפון הישן החלק הדרום מזרחי,ריינס 9,2.0,0,45,0,0,12,500,200,4,"דירה של 2 חדרים, כ - 45 מטר מסודרת מוארת מקסימה ואיוכתית.
מטבח פתוח לסלון,פלוס פינת אוכל.
חדר שינה עם מזגן.
נישאר בדירה: ארון קיר גדול.
פונה לעורף,מיקום שקט.
מיקום שקט הליכה לים !!
כניסה מידית.",0,0,0,1,0,1,0,0,0,1,6300.0,4,1.3
דירה,הצפון הישן החלק הדרום מזרחי,שמריהו לוין 3,2.0,3,40,0,0,12,400,200,4,"רחוב:בשמריהו לוין

מרכז תל אביב

דירה של  2  חדרים,כ - 40 מטר,מסודרת משופצת מקסימה איוכתית ויפה.

מוארת 

מרכזית שקטה.

קומה שלישית,ללא מעלית.

שקטה.

משופצת.

כולל החשבונות.

כניסה מידית.",0,0,0,1,0,1,0,0,0,1,6500.0,4,0.8
דירה,הצפון הישן החלק הדרום מזרחי,ריינס 2,2.0,0,45,0,0,12,400,100,5,"רחוב: ריינס

מרכז תל אביב

דירה של 2 חדרים, כ - 45 מטר מסודרת מוארת מקסימה ואיוכתית.

מטבח פתוח לסלון,פלוס פינת אוכל.

חדר שינה עם מזגן.

נישאר בדירה: ארון קיר גדול.

פונה לעורף,מיקום שקט.

מיקום שקט הליכה לים !!

כניסה מידית.",0,0,0,1,0,1,0,0,0,1,6300.0,7,1.4
דירה,הצפון הישן החלק הדרום מזרחי,"שדרות ח""ן 9",3.5,2,90,0,0,12,700,200,5,"רחוב: שדרות ח""ן 
מרכז תל אביב
דירה של  3.5  חדרים,כ - 90 מטר, מטבח נטו מוארת ויפה.
שלושה כוון אויר.
חדרי שינה עם מזגנים.
מקלחת ושורתים בנפרד.
מוארת,ומסודרת.
בניין עם מעלית
מתאימה לשותפים \ משפחה.
כניסה מידית.",0,0,1,1,0,0,0,0,0,1,9500.0,7,0.9
דירה,הצפון הישן החלק הדרום מזרחי,ריינס 16,2.0,0,45,0,0,12,400,200,4,"להשכרה !!  מחיר: 6300 ש""ח 
רחוב: ריינס
דירה של 2 חדרים, כ - 45 מטר מסודרת מוארת מקסימה ואיוכתית.
מטבח פתוח לסלון,פלוס פינת אוכל.
חדר שינה עם מזגן.
נישאר בדירה: ארון קיר גדול.
פונה לעורף,מיקום שקט.
מיקום שקט הליכה לים !!
כניסה מידית.",0,0,0,1,0,1,0,0,0,1,6300.0,7,1.3
דירה,הצפון הישן החלק הדרום מזרחי,פרישמן  77,3.0,2,90,0,0,12,500,200,4,"רחוב: פרישמן 
דירה של  3  חדרים,כ - 90  מטר, מסודרת מוארת מקסימה.יציאה למרפסת סגורה
חדרי שינה עם מזגנים
מקלחת ושרותים.
פונה לחזית
בניין מתוחזק וטוב
מתאימה לשותפים \ משפחה.
אפשרות להשכיר חניה בתופסת תשלום.
כניסה מידית.",0,0,0,1,0,0,0,1,0,1,9000.0,7,1.7
דירה,הצפון הישן החלק הדרום מזרחי,דיזנגוף 77,3.0,4,78,20,0,12,900,200,4,"רחוב: דיזנגוף

ליד רחוב ארלוזורב.

מרכז תל אביב

דולפלקס של  3  חדרים,כ - 78 מטר, משופצת ומסודרת,קומה 1 סלון עם מטבח פתוח.

חדר שינה עם מזגן חדר ממ""ד

ומלקחת ושרותים.

קומה 2 - חדר שינה עם מזגן,עם ארון קיר,יציאה למרפסת שמש של 11 מטר

ובנוסף יציאה נוספת למרפסת כפולה של 11 מטר.

פונה לרחוב באר טוביה השקטה.

בניין עם מעלית

מתאימה לזוג \ שותפים.

כניסה מידית.",0,0,1,1,0,0,1,1,0,1,8000.0,12,0.2
דירה,הצפון הישן החלק הדרום מזרחי,אבן גבירול 7,2.0,0,47,0,0,12,500,100,4,"רחוב: אבן גבירול

בצפון הישן 

דירה של  2  חדרים,כ - 47 מטר, קומה ק""ק פונה לעורף שקטה מאוד.

ליד שדרות נורדאו.

סלון עם פינת עבודה \ אוכל.

חדר שינה עם מזגן

מקלחת ושורתים ביחיד.

מסודרת מאוד.

בניין מסודר,עם אינטרקום.

כניסה מידית.",0,0,0,1,0,1,0,0,0,1,4800.0,2,1.5
דירה,הצפון הישן החלק הדרום מזרחי,פרישמן 66,3.0,2,90,0,0,12,500,350,4,"מרכז תל אביב

לככר רבין

3 חדרים 90 מ""ר קומה 2 עם מעלית

משופצת עם פרקט איכותי בכל הדירה

מרווחת מוארת ושקטה

אמבטיה דוד שמש

2 שרותים

נישאר בדירה: תנור וכיריים

ללא בעלי חיים

מתאימה לזוג+/2 שותפים

כניסה מידית",0,0,0,1,0,1,0,0,0,1,10800.0,14,1.4
דירה,הצפון הישן החלק הדרום מזרחי,שץ גגה גרשון 4,3.0,3,75,0,0,12,500,240,5,"רחוב: נווה יהושע

עיר:רמת גן 

 דירת 3.5 חדרים כ-85 מ""ר ,קומה 3.

דירה יפיפייה, מסודרת, מרווחת ,עורפית ושקטה עם 2 כיווני אוויר (דרום ומערב)

מרפסת שמש ,חניה, מחסן ומעלית.

מיקום מעולה בקרבת בתי ספר, גני ילדים, מרכזי קניות ואלוף שדה.

כניסה גמישה.",1,0,1,1,0,0,1,1,0,1,8200.0,6,1.7
גג/פנטהאוז,הצפון הישן החלק הדרום מזרחי,שלמה המלך 7,2.0,4,25,0,0,12,700,200,4,"צפון הישן \ דרום.

דירה של  2  חדרים,כ - 60 מטר עברה שיפוץ כללי הכל חדש.

יציאה למרפסת שמש ענקת של 25 מטר

מטבח פתוח פלוס פינת אכול.

חדר שינה עם מזגן.

אפשר ריהוט חלקי

קומה 4\4 - ללא מעלית.

כניסה מידית.",0,0,0,1,0,0,0,1,0,1,8000.0,7,1.2
דירה,הצפון הישן החלק הדרום מזרחי,שמריהו לוין 8,5.0,2,110,0,0,12,950,250,4,"דירה של  5 חדרים, דירה מקסימה איוכתית ומקסימה.

סמוך להבימה

קומה 3 ללא מעלית

כ 110 מ״ר

2 מרפסות סגורות מהחדרים

מרווחת מאוד עורפית ושקטה

4 חדרי שינה גדולים כשווים וסלון קטן

2 שירותים אמבטיה 1

דוד שמש

אופציה לספות, ארונות, מקרר, מכונת כביסה ומייבש

מתאים למשפחה / 4 שותפים

אפשר בע״ח

כניסה מיידית",0,0,0,1,0,0,0,0,0,1,12500.0,8,0.8
דירה,הצפון הישן החלק הדרום מזרחי,ריינס 11,2.0,0,45,0,0,12,500,100,4,"דירה של 2  חדרים, כ - 45  מטר מסודרת מוארת מקסימה ואיכותית.
קומה: ק""ק
מטבח פתוח לסלון,פלוס פינת אוכל.
חדר שינה עם מזגן.
נישאר בדירה: ארון קיר גדול.
פונה לעורף,מיקום שקט.
מיקום שקט הליכה לים !!
כניסה מידית.",0,0,0,1,0,1,0,0,0,1,6000.0,5,1.3
דירה,הצפון הישן החלק הדרום מזרחי,נצח ישראל 6,3.0,0,80,0,0,12,700,400,6,"דירה של 3 חדרים,כ - 80 מטר, משופצת מקסימה איוכתית ויפה.

חדרי ישנה עם מזגנים.

מיקום מנצח!!

ברמה גבוה מאוד מטבח מרוהט מלא.

כולל אורנות בחדרים.

(ניתן לקבל מרוהט כפי שהוא)

כניסה : 1.12.2022",0,0,0,1,0,1,0,1,0,1,9900.0,7,1.4
דירה,הצפון הישן החלק הדרום מזרחי,נצח ישראל 4,3.0,0,80,0,,12,500,200,4,"דירה של 3 חדרים,כ - 80 מטר, משופצת מקסימה איוכתית ויפה.
חדרי ישנה עם מזגנים.
מיקום מנצח!!
ברמה גבוה מאוד מטבח מרוהט מלא.
כולל אורנות בחדרים.
(ניתן לקבל מרוהט כפי שהוא)
כניסה : 1.12.2022",0,0,0,1,0,1,0,1,0,1,9900.0,7,1.4
דירה,הצפון הישן החלק הדרום מזרחי,שדרות חן 5,3.0,1,78,0,0,12,850,250,4,"מרכז תל אביב

דירה של  3  חדרים,כ - 80  מטר, משופצת מקסימה איוכתית ויפה.

חדרי ישנה עם מזגנים.

מיקום מנצח!!

ברמה גבוה מאוד 

מטבח מרוהט מלא.

כולל אורנות בחדרים.(ניתן לקבל מרוהט כפי שהוא.

כניסה : 1.12.2022",0,0,0,1,0,1,0,0,1,1,9900.0,7,0.9
דירה,הצפון הישן החלק הדרום מזרחי,שטנד 3,3.0,2,100,0,0,12,1000,250,4,"דירה תל אביבית אמיתית של 100 מטר ששופצה ברמה גבוהה לשני חדרי שינה גדולים.

שני חדרי אמבטיה מלאים סלון ענק שיוצא למרפסת יפה !!

תקרות גבוהות מוצפת אור.

בניין יפיפה של 4 דיירים.

פינה פסטורלית במרכז העיר =אין בנייה באזור !

המיקום הכי טוב בעיר !!!

תאריך כניסה גמיש",0,0,0,1,0,0,0,0,0,1,11000.0,13,1.8
דירה,הצפון הישן החלק הדרום מזרחי,שדרות בן גוריין  92,2.0,0,70,0,,12,450,200,4,"בשדרות בן גוריון המיקום הכי שווה בעיר ! מתפנה לה דירת 2 חדרים 70 מ״ר ענקית ! שני חדרי שינה ענקיים עם יצאה למרפסת מכל חדר ! מטבח משופץ ונפרד ! נשאר מקרר ותנור גז מושלמת לזוגות או שותפים ללא סלון ! 
שכ״ד 6500 ארנונה 500 דו חודשי ועד 100 שח לחודש תאריך כניסה 1/9   
מציאה של ממש לא לפספס !",0,0,0,1,0,1,0,1,0,0,6500.0,4,1.7
דירה להשכרה,הצפון הישן החלק הדרום מזרחי,עין חרוד,3.5,4,90,0,,,,,4,"נכס מספר 584241, משופצת חדשהמירפסת שמש",0,0,1,1,0,0,0,0,0,0,5500.0,0,1.4
דירה,רמת אביב ג,ברון עקיבא 5,4.0,4,88,0,0,12,450,250,6,"דירה שקטה, עורפית, קרובה למרכז שוסטר,קרובה לאוניברסיטת תל אביב, לרכבת וליציאה לאיילון. 
הדירה בעלת 4 חדרים (3 חדרי שינה), משופצת, מוארת, 4 כיווני אוויר, מזגן בכל חדר, דוד שמש, מקרר, כיריים, בוידם לאחסון. ארונות בשני חדרים. יש בה דלפק קבוע וגדול, ככה שאין צורך בפינת אוכל, וגם יש מדפי שיש קבועים לטלויזיה ועוד. לבניין יש גם מעלית,חניה ומקלט!",1,0,1,1,1,0,0,0,1,1,8900.0,6,9.0
דירה,רמת אביב ג,רקנאטי 5,5.0,11,119,0,,12,1033,858,16,"לרגל רילוקיישן, מפנים דירת 5 חדרים + מחסן גדול, חדשה (נכנסנו בינואר) נפלאה במגדלי רקנאטי, מעוצבת נהדר ע""י מעצבת פרטית, משודרגת בכל מיני אופנים - סלון ומטבח הוגדלו, מזגן משופר, אמבטיה ומקלחת איכותיים.. קומה 11, שקטה, נוף מדהים. הדירה מתפנה בתחילת ספטמבר. כל הקודם זוכה!

אנחנו מוכרים את תכולת הדירה - רהיטים ומכשירי חשמל חדשים איכותיים - משדרג עוד יותר את הדירה, למי שזה מתאים לו",1,1,1,1,0,0,1,1,0,0,16000.0,10,8.4
דירה,רמת אביב ג,מאיר פיינשטיין 10,4.0,7,130,0,0,12,715,480,9,"דירת 4 חדרים
במקור 5 חדרים
עם מרפסת צפונית. אויר ונוף מדהים!! עם ממד!
דירה שקטה ונעימה. שמורה ובמצב מצויין
מתחיל שיפוץ של הבניין. בזמן השיפוץ מחיר השכירות יהיה נמוך יותר",1,1,1,1,0,0,1,1,1,0,11200.0,9,9.2
דירה,רמת אביב ג,קשאני 9,4.0,8,90,0,0,12,744,384,8,"דירה משופצת מפרטי ,4 חדרים 3 כיווני אוויר, ליד מרכז,שוסטר ומרכז הספורט
קימת חניה לדירי הבנים, מקסימה
מתאימה גם לשותפים",1,0,1,1,0,0,0,0,0,1,8800.0,1,9.0
דירה,רמת אביב ג,חכים אליהו 14,4.0,3,104,12,,12,1500,260,12,מתיווך דירת 4 חדרים 2 חדרי רחצה משופצת שקטה נוף ירוק קרובה לאונברסיטה מרוהטת ברמה מטבח מאובזר,1,0,1,1,0,0,1,1,0,1,9800.0,5,9.1
גג/ פנטהאוז,רמת אביב ג,מאיר פיינשטיין 2,5.0,15,246,0,,1,,,16,"נכס מספר: 51858, רמת אביב ג -פנטהאו\ז יוקרתי בלב השכונה בגימל, חדש, נוף פתוח למכירה/השכרה 2 חניות ומחסן, לפרטים ותיאום שרית/אריאל ישראהום נכסים בקנטרי ג",1,1,1,1,1,1,1,1,0,1,28500.0,5,9.4
דירה,רמת אביב ג,אליהו בית צורי,3.0,5,85,0,,12,,,11,"דירה מדהימה מושקעת 3 חדרים ברמה גבוה מאוד
דירה כדאית עם מוצרי חשמל ארונות
מחסן חניה ממד ומרפסת",1,1,1,1,0,0,1,1,0,1,9500.0,2,9.0
דירה,רמת אביב ג,אחימאיר אבא 7,4.0,6,80,0,,12,600,250,6,"*דירה להחלפה בלבד*
מציעים דירת 4 חדרים ברמת אביב ג' 2 דקות ממרכז שוסטר ותחבורה ציבורית. בדירה 3 חדרי שינה וסלון מרווח עם מטבח עם מלא מקומות אחסון ומרפסת שירות. נשאר תנור ומקרר וארונות. בעל בית שדואג לכל תקלה גם מחו""ל, דירה מעולה למשפחות לא לשותפים
אפשר בע""ח, עדיפות לטווח ארוך.
אנחנו מחפשים דירת 3 חדרים מרווחת,נעימה, מוארת ושקטה עם מרפסת בצפון הישן עד מרכז ת""א בתקציב של עד 6500",1,0,1,1,0,1,0,1,0,0,6000.0,15,9.2
דירה,רמת אביב ג,אחימאיר אבא 6,2.0,5,70,0,,12,400,350,8,"דירה  מעולה עם נוף פתוח לשדירה, ליחיד/זוג , במקור 3 חדרים, עוצבה ארכיטקטונית לסלון מרווח וחדר שינה עם חדר ארונות.",1,0,1,1,0,0,0,0,0,1,7800.0,0,9.0
דירה,רמת אביב ג,משה ברזאני  4,4.0,7,107,0,0,12,1000,350,9,"רחוב: משה ברזאני 

רמת אביב ג'

דירה של  4  חדרים כ - 107 מטר, משופצת חדשה מהיסוד.

יציאה למרפסת שמש של 12 מטר

סלון עם מטבח פתוח

4 כוון אויר.

שרותים כפולים.

יח' הורים עם מקלחת ושורתים צמודים.

חדרי שינה עם מזגנים.

נוף פתוח.

חניה כפולה,ומעלית.

לזוג \ משפחה.

כניסה מידית.",1,0,1,1,0,0,0,1,0,1,12200.0,6,9.7
דירה,רמת אביב ג,בן יוסף שלמה 16,3.5,3,80,0,0,12,250,200,8,"דירת 3.5 חדרים בשלמה בן יוסף 
חדר מקלחת ושירותים מרווחים מאוד עם אמבטיה 
מחפשים שוכר לטווח ארוך 
שכירות 8,000 שקל 
בילעדי
240 שח ארנונה 
200 שח וועד",0,0,0,0,0,0,0,0,0,0,8000.0,0,9.1
דירה להשכרה,רמת אביב ג,שלמה בן יוסף,4.0,7,120,0,0,12,,460,7,"דירה גבוהה,נוף לים בבניין שמור מאוד,רהוט חלקי ניתן להתרשם מהתמונות.",1,0,1,1,1,0,0,0,1,1,3000.0,4,9.1
דירה להשכרה,רמת אביב ג,שלמה בן יוסף,4.0,6,140,0,,4,,,6,דירה יפה ומשופצת ומרוהטת לחלוטין. ניתן לקבל גם ללא ריהוט. נוף לפארק.,1,0,1,1,1,0,0,0,1,1,3500.0,0,9.1
